running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016942.0003
[None, u'Launching', 10.027221918106079]
['pilot.0000', u'Launching', 10.037330150604248]
['unit.000239', u'pilot.0000', u'AgentStagingInputPending', 22.289611101150513]
['unit.000194', u'pilot.0000', u'PendingInputStaging', 22.289698123931885]
['unit.000170', u'pilot.0000', u'AgentStagingInputPending', 22.289839029312134]
['unit.000178', u'pilot.0000', u'AgentStagingInputPending', 22.28988003730774]
['unit.000004', u'pilot.0000', u'AgentStagingInputPending', 22.290112018585205]
['unit.000254', u'pilot.0000', u'AgentStagingInputPending', 27.773913145065308]
['unit.000038', u'pilot.0000', u'AgentStagingInputPending', 27.77440309524536]
['unit.000145', u'pilot.0000', u'AgentStagingInputPending', 27.77455997467041]
['unit.000006', u'pilot.0000', u'AgentStagingInputPending', 27.774763107299805]
['unit.000005', u'pilot.0000', u'AgentStagingInputPending', 27.77490997314453]
['unit.000036', u'pilot.0000', u'AgentStagingInputPending', 27.774948120117188]
['unit.000194', u'pilot.0000', u'AgentStagingInputPending', 27.775171041488647]
['unit.000181', u'pilot.0000', u'AgentStagingInputPending', 27.775413990020752]
['unit.000067', u'pilot.0000', u'AgentStagingInputPending', 27.775527000427246]
['unit.000007', u'pilot.0000', u'PendingInputStaging', 27.7756450176239]
['unit.000076', u'pilot.0000', u'AgentStagingInputPending', 27.775753021240234]
['pilot.0000', u'PendingActive', 28.287081956863403]
['unit.000010', u'pilot.0000', u'StagingInput', 33.677000999450684]
['unit.000039', u'pilot.0000', u'AgentStagingInputPending', 33.67720603942871]
['unit.000088', u'pilot.0000', u'AgentStagingInputPending', 33.677340030670166]
['unit.000008', u'pilot.0000', u'AgentStagingInputPending', 33.67777895927429]
['unit.000249', u'pilot.0000', u'AgentStagingInputPending', 33.67783808708191]
['unit.000161', u'pilot.0000', u'StagingInput', 33.67788100242615]
['unit.000041', u'pilot.0000', u'AgentStagingInputPending', 33.67807412147522]
['unit.000040', u'pilot.0000', u'AgentStagingInputPending', 33.67811298370361]
['unit.000007', u'pilot.0000', u'AgentStagingInputPending', 33.67825508117676]
['unit.000197', u'pilot.0000', u'AgentStagingInputPending', 33.67873001098633]
['unit.000188', u'pilot.0000', u'PendingInputStaging', 33.678956031799316]
['unit.000066', u'pilot.0000', u'AgentStagingInputPending', 33.67913293838501]
['unit.000166', u'pilot.0000', u'AgentStagingInputPending', 33.679187059402466]
['unit.000009', u'pilot.0000', u'AgentStagingInputPending', 33.67935395240784]
['unit.000168', u'pilot.0000', u'AgentStagingInputPending', 33.67939901351929]
['unit.000072', u'pilot.0000', u'PendingInputStaging', 33.67949199676514]
['unit.000018', u'pilot.0000', u'AgentStagingInputPending', 37.34499502182007]
['unit.000010', u'pilot.0000', u'AgentStagingInputPending', 37.34510612487793]
['unit.000011', u'pilot.0000', u'AgentStagingInputPending', 37.34514904022217]
['unit.000013', u'pilot.0000', u'AgentStagingInputPending', 37.34522008895874]
['unit.000014', u'pilot.0000', u'AgentStagingInputPending', 37.34525799751282]
