running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016957.0000
['pilot.0000', 'PendingLaunch', 15.346224069595337]
['pilot.0000', u'Launching', 15.788487195968628]
['unit.000360', u'pilot.0000', u'PendingInputStaging', 28.39321208000183]
['unit.000115', u'pilot.0000', u'PendingInputStaging', 28.393479108810425]
['unit.000114', u'pilot.0000', u'PendingInputStaging', 28.39352297782898]
['unit.000113', u'pilot.0000', u'PendingInputStaging', 28.393596172332764]
['unit.000112', u'pilot.0000', u'AgentStagingInputPending', 28.393635034561157]
['unit.000277', u'pilot.0000', u'AgentStagingInputPending', 28.393810987472534]
['unit.000109', u'pilot.0000', u'AgentStagingInputPending', 28.395236015319824]
['unit.000402', u'pilot.0000', u'PendingInputStaging', 28.395434141159058]
['unit.000037', u'pilot.0000', u'AgentStagingInputPending', 28.39573311805725]
['unit.000110', u'pilot.0000', u'AgentStagingInputPending', 28.396548986434937]
['unit.000306', u'pilot.0000', u'AgentStagingInputPending', 28.396818161010742]
['unit.000360', u'pilot.0000', u'AgentStagingInputPending', 35.22458815574646]
['unit.000361', u'pilot.0000', u'PendingInputStaging', 35.22465109825134]
['unit.000115', u'pilot.0000', u'AgentStagingInputPending', 35.22481918334961]
['unit.000114', u'pilot.0000', u'AgentStagingInputPending', 35.224863052368164]
['unit.000117', u'pilot.0000', u'AgentStagingInputPending', 35.22490215301514]
['unit.000116', u'pilot.0000', u'AgentStagingInputPending', 35.22493815422058]
['unit.000113', u'pilot.0000', u'AgentStagingInputPending', 35.224990129470825]
['unit.000369', u'pilot.0000', u'PendingInputStaging', 35.225056171417236]
['unit.000502', u'pilot.0000', u'AgentStagingInputPending', 35.22522807121277]
['unit.000447', u'pilot.0000', u'PendingInputStaging', 35.22603797912598]
['unit.000215', u'pilot.0000', u'PendingInputStaging', 35.22631597518921]
['unit.000402', u'pilot.0000', u'AgentStagingInputPending', 35.2266640663147]
['unit.000006', u'pilot.0000', u'AgentStagingInputPending', 35.22752809524536]
['unit.000119', u'pilot.0000', u'PendingInputStaging', 35.227670192718506]
['unit.000118', u'pilot.0000', u'AgentStagingInputPending', 35.2277090549469]
['pilot.0000', u'PendingActive', 35.61957502365112]
['unit.000372', u'pilot.0000', u'StagingInput', 39.08145213127136]
['unit.000121', u'pilot.0000', u'AgentStagingInputPending', 39.081542015075684]
['unit.000361', u'pilot.0000', u'AgentStagingInputPending', 39.082054138183594]
['unit.000369', u'pilot.0000', u'AgentStagingInputPending', 39.082303047180176]
['unit.000371', u'pilot.0000', u'AgentStagingInputPending', 39.0825891494751]
['unit.000370', u'pilot.0000', u'AgentStagingInputPending', 39.082632064819336]
['unit.000434', u'pilot.0000', u'AgentStagingInputPending', 39.08305501937866]
['unit.000447', u'pilot.0000', u'AgentStagingInputPending', 39.08328604698181]
['unit.000216', u'pilot.0000', u'PendingInputStaging', 39.08355498313904]
['unit.000215', u'pilot.0000', u'AgentStagingInputPending', 39.08360505104065]
['unit.000119', u'pilot.0000', u'AgentStagingInputPending', 39.084801197052]
['unit.000039', u'pilot.0000', u'PendingInputStaging', 39.084851026535034]
['unit.000120', u'pilot.0000', u'AgentStagingInputPending', 39.08519697189331]
['unit.000122', u'pilot.0000', u'StagingInput', 39.08524417877197]
['unit.000123', u'pilot.0000', u'PendingInputStaging', 39.085278034210205]
['unit.000124', u'pilot.0000', u'PendingInputStaging', 39.085309982299805]
['unit.000128', u'pilot.0000', u'AgentStagingInputPending', 44.68740200996399]
['unit.000129', u'pilot.0000', u'AgentStagingInputPending', 44.68809914588928]
['unit.000372', u'pilot.0000', u'AgentStagingInputPending', 44.68824505805969]
['unit.000126', u'pilot.0000', u'AgentStagingInputPending', 44.68829607963562]
['unit.000127', u'pilot.0000', u'AgentStagingInputPending', 44.68833112716675]
['unit.000280', u'pilot.0000', u'AgentStagingInputPending', 44.689375162124634]
['unit.000443', u'pilot.0000', u'PendingInputStaging', 44.68950915336609]
['unit.000131', u'pilot.0000', u'AgentStagingInputPending', 44.68961310386658]
['unit.000216', u'pilot.0000', u'AgentStagingInputPending', 44.68988800048828]
['unit.000494', u'pilot.0000', u'AgentStagingInputPending', 44.69009304046631]
['unit.000362', u'pilot.0000', u'AgentStagingInputPending', 44.690227031707764]
['unit.000363', u'pilot.0000', u'PendingInputStaging', 44.69026303291321]
['unit.000133', u'pilot.0000', u'AgentStagingInputPending', 44.690617084503174]
['unit.000132', u'pilot.0000', u'AgentStagingInputPending', 44.690654039382935]
['unit.000039', u'pilot.0000', u'AgentStagingInputPending', 44.69069814682007]
['unit.000137', u'pilot.0000', u'PendingInputStaging', 44.690733194351196]
['unit.000136', u'pilot.0000', u'PendingInputStaging', 44.69076704978943]
['unit.000135', u'pilot.0000', u'StagingInput', 44.69080209732056]
['unit.000134', u'pilot.0000', u'AgentStagingInputPending', 44.69083499908447]
['unit.000218', u'pilot.0000', u'StagingInput', 44.690943002700806]
['unit.000009', u'pilot.0000', u'AgentStagingInputPending', 44.691362142562866]
['unit.000130', u'pilot.0000', u'AgentStagingInputPending', 44.69148898124695]
['unit.000040', u'pilot.0000', u'AgentStagingInputPending', 44.6919310092926]
